date,year,month,online_food_turnover,online_nonfood_turnover,online_total_turnover,total_revenue_turnover
Jul-2013,2013,Jul,139.5,331.4,470.9,22042.6
Aug-2013,2013,Aug,146.7,329.6,476.3,22204.7
Sep-2013,2013,Sep,139.7,322.7,462.4,22356.5
Oct-2013,2013,Oct,127.9,351.6,479.5,22431.6
Nov-2013,2013,Nov,138.5,388.1,526.6,22630.9
Dec-2013,2013,Dec,131.1,381.7,512.7,22879.4
Jan-2014,2014,Jan,148.1,399.4,547.5,23093.1
Feb-2014,2014,Feb,154.9,426.4,581.3,23087.4
Mar-2014,2014,Mar,156.2,401.3,557.5,23097.3
Apr-2014,2014,Apr,161.3,412.0,573.3,23158.5
May-2014,2014,May,168.2,423.0,591.2,23112.0
Jun-2014,2014,Jun,165.2,432.1,597.4,23225.9
Jul-2014,2014,Jul,167.9,450.9,618.7,23402.5
Aug-2014,2014,Aug,165.9,464.5,630.3,23436.0
Sep-2014,2014,Sep,169.4,481.4,650.8,23697.9
Oct-2014,2014,Oct,175.2,502.3,677.5,23766.6
Nov-2014,2014,Nov,181.5,492.8,674.3,23781.3
Dec-2014,2014,Dec,174.4,515.1,689.5,23838.6
Jan-2015,2015,Jan,173.2,536.6,709.8,23977.7
Feb-2015,2015,Feb,174.9,544.8,719.6,24137.8
Mar-2015,2015,Mar,183.3,567.4,750.7,24132.5
Apr-2015,2015,Apr,185.1,567.5,752.6,24179.7
May-2015,2015,May,187.5,577.5,765.1,24241.0
Jun-2015,2015,Jun,196.6,591.5,788.1,24394.6
Jul-2015,2015,Jul,203.7,568.7,772.5,24462.0
Aug-2015,2015,Aug,209.2,582.7,791.9,24564.7
Sep-2015,2015,Sep,215.9,581.3,797.3,24643.4
Oct-2015,2015,Oct,211.1,552.6,763.7,24757.5
Nov-2015,2015,Nov,211.0,566.7,777.7,24837.0
Dec-2015,2015,Dec,222.6,583.5,806.1,24891.6
Jan-2016,2016,Jan,209.4,636.5,845.9,24990.9
Feb-2016,2016,Feb,211.7,610.4,822.1,24980.9
Mar-2016,2016,Mar,211.2,624.8,835.9,25102.9
Apr-2016,2016,Apr,218.6,636.7,855.2,25089.8
May-2016,2016,May,208.3,650.1,858.5,25058.7
Jun-2016,2016,Jun,212.2,672.8,885.0,25149.3
Jul-2016,2016,Jul,210.7,664.8,875.5,25148.6
Aug-2016,2016,Aug,221.7,670.4,892.2,25337.3
Sep-2016,2016,Sep,221.3,704.7,925.9,25574.1
Oct-2016,2016,Oct,233.8,725.2,959.1,25575.6
Nov-2016,2016,Nov,240.6,717.0,957.6,25643.3
Dec-2016,2016,Dec,246.5,781.1,1027.6,25666.0
Jan-2017,2017,Jan,263.6,714.0,977.6,25752.9
Feb-2017,2017,Feb,261.6,705.0,966.5,25656.3
Mar-2017,2017,Mar,252.3,713.1,965.4,25638.6
Apr-2017,2017,Apr,272.9,677.3,950.3,25891.9
May-2017,2017,May,280.9,727.1,1008.0,25991.6
Jun-2017,2017,Jun,288.4,740.8,1029.2,26043.0
Jul-2017,2017,Jul,284.7,808.8,1093.4,26049.0
Aug-2017,2017,Aug,281.9,867.8,1149.6,25902.7
Sep-2017,2017,Sep,285.5,855.5,1141.0,25944.9
Oct-2017,2017,Oct,293.8,904.8,1198.7,26024.0
Nov-2017,2017,Nov,307.9,959.1,1267.0,26305.2
Dec-2017,2017,Dec,326.0,998.9,1324.9,26328.4
Jan-2018,2018,Jan,337.8,997.5,1335.3,26317.7
Feb-2018,2018,Feb,351.3,1064.6,1415.8,26418.5
Mar-2018,2018,Mar,355.6,1077.6,1433.3,26414.4
Apr-2018,2018,Apr,359.5,1103.1,1462.7,26572.8
May-2018,2018,May,364.8,1118.1,1482.8,26691.0
Jun-2018,2018,Jun,364.7,1139.7,1504.4,26734.4
Jul-2018,2018,Jul,377.8,1117.9,1495.7,26782.5
Aug-2018,2018,Aug,382.9,1112.6,1495.4,26879.0
Sep-2018,2018,Sep,384.8,1141.3,1526.1,26918.3
Oct-2018,2018,Oct,385.7,1185.8,1571.5,27022.9
Nov-2018,2018,Nov,413.6,1212.6,1626.1,27013.0
Dec-2018,2018,Dec,430.4,1184.9,1615.4,27050.1
Jan-2019,2019,Jan,435.6,1221.8,1657.4,27092.5
Feb-2019,2019,Feb,431.3,1207.5,1638.8,27253.8
Mar-2019,2019,Mar,444.6,1215.2,1659.8,27300.5
Apr-2019,2019,Apr,437.2,1219.4,1656.6,27309.5
May-2019,2019,May,447.5,1223.7,1671.2,27360.0
Jun-2019,2019,Jun,442.8,1229.8,1672.6,27408.9
Jul-2019,2019,Jul,450.2,1270.9,1721.1,27430.5
Aug-2019,2019,Aug,461.0,1287.9,1749.0,27543.5
Sep-2019,2019,Sep,478.9,1297.3,1776.2,27589.2
Oct-2019,2019,Oct,518.8,1289.3,1808.1,27635.0
Nov-2019,2019,Nov,493.0,1325.5,1818.5,27895.6
Dec-2019,2019,Dec,490.4,1428.6,1919.1,27747.2
